0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:58:56 +0700] "GET /adv/user/js/loginv3.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:58:56 +0700] "GET /adv/adcss/all.min.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:58:56 +0700] "GET /adv/adcss/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:58:57 +0700] "GET /adv/user/login HTTP/1.1" 200 2800
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:58:57 +0700] "GET /adv/user/js/loginv3.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:58:57 +0700] "GET /adv/user/js/bootstrap.bundle.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:58:57 +0700] "GET /adv/adcss/all.min.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:58:57 +0700] "GET /adv/adcss/loginv3.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:58:57 +0700] "GET /adv/adcss/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:58:57 +0700] "GET /adv/user/login HTTP/1.1" 200 2800
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:58:57 +0700] "GET /adv/user/js/bootstrap.bundle.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:58:57 +0700] "GET /adv/adcss/all.min.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:58:57 +0700] "GET /adv/adcss/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:58:57 +0700] "GET /adv/user/js/loginv3.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:58:57 +0700] "GET /adv/adcss/loginv3.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:58:57 +0700] "GET /adv/user/login HTTP/1.1" 200 2800
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:58:57 +0700] "GET /adv/adcss/all.min.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:58:57 +0700] "GET /adv/adcss/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:58:57 +0700] "GET /adv/adcss/loginv3.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:58:57 +0700] "GET /adv/user/js/bootstrap.bundle.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:58:57 +0700] "GET /adv/user/js/loginv3.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:58:57 +0700] "GET /adv/user/login HTTP/1.1" 200 2800
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:58:57 +0700] "GET /adv/user/js/loginv3.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:58:57 +0700] "GET /adv/adcss/loginv3.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:58:57 +0700] "GET /adv/adcss/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:58:57 +0700] "GET /adv/adcss/all.min.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:58:57 +0700] "GET /adv/user/js/bootstrap.bundle.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:58:58 +0700] "GET /adv/user/login HTTP/1.1" 200 2800
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:58:58 +0700] "GET /adv/user/js/bootstrap.bundle.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:58:58 +0700] "GET /adv/adcss/loginv3.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:58:58 +0700] "GET /adv/adcss/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:58:58 +0700] "GET /adv/user/js/loginv3.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:58:58 +0700] "GET /adv/adcss/all.min.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:10 +0700] "GET /adv/user/login HTTP/1.1" 200 2800
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:10 +0700] "GET /adv/adcss/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:10 +0700] "GET /adv/user/js/bootstrap.bundle.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:10 +0700] "GET /adv/adcss/loginv3.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:10 +0700] "GET /adv/adcss/all.min.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:10 +0700] "GET /adv/user/js/loginv3.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:11 +0700] "GET /adv/user/login HTTP/1.1" 200 2800
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:11 +0700] "GET /adv/adcss/all.min.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:11 +0700] "GET /adv/user/js/bootstrap.bundle.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:11 +0700] "GET /adv/adcss/loginv3.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:11 +0700] "GET /adv/adcss/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:11 +0700] "GET /adv/user/js/loginv3.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:25 +0700] "GET /adv/user/login HTTP/1.1" 200 2800
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:25 +0700] "GET /adv/adcss/all.min.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:25 +0700] "GET /adv/user/js/loginv3.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:25 +0700] "GET /adv/adcss/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:25 +0700] "GET /adv/adcss/loginv3.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:25 +0700] "GET /adv/user/js/bootstrap.bundle.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:25 +0700] "GET /adv/user/login HTTP/1.1" 200 2800
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:25 +0700] "GET /adv/adcss/all.min.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:25 +0700] "GET /adv/adcss/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:25 +0700] "GET /adv/user/js/bootstrap.bundle.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:25 +0700] "GET /adv/adcss/loginv3.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:25 +0700] "GET /adv/user/js/loginv3.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:25 +0700] "GET /adv/user/login HTTP/1.1" 200 2800
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:25 +0700] "GET /adv/adcss/all.min.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:25 +0700] "GET /adv/user/js/bootstrap.bundle.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:25 +0700] "GET /adv/user/js/loginv3.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:25 +0700] "GET /adv/adcss/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:25 +0700] "GET /adv/adcss/loginv3.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:25 +0700] "GET /adv/user/login HTTP/1.1" 200 2800
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:26 +0700] "GET /adv/adcss/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:26 +0700] "GET /adv/adcss/loginv3.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:26 +0700] "GET /adv/user/js/loginv3.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:26 +0700] "GET /adv/adcss/all.min.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:26 +0700] "GET /adv/user/js/bootstrap.bundle.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:26 +0700] "GET /adv/user/login HTTP/1.1" 200 2800
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:26 +0700] "GET /adv/adcss/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:26 +0700] "GET /adv/user/js/loginv3.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:26 +0700] "GET /adv/adcss/loginv3.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:26 +0700] "GET /adv/user/js/bootstrap.bundle.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:26 +0700] "GET /adv/adcss/all.min.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:31 +0700] "GET /adv/user/login HTTP/1.1" 200 2805
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:31 +0700] "GET /adv/adcss/all.min.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:31 +0700] "GET /adv/user/js/bootstrap.bundle.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:31 +0700] "GET /adv/adcss/loginv3.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:31 +0700] "GET /adv/adcss/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:31 +0700] "GET /adv/user/login HTTP/1.1" 200 2805
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:31 +0700] "GET /adv/adcss/loginv3.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:31 +0700] "GET /adv/adcss/all.min.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:31 +0700] "GET /adv/adcss/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:31 +0700] "GET /adv/user/js/bootstrap.bundle.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:31 +0700] "GET /adv/user/login HTTP/1.1" 200 2805
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:31 +0700] "GET /adv/adcss/loginv3.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:31 +0700] "GET /adv/adcss/all.min.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:31 +0700] "GET /adv/adcss/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:31 +0700] "GET /adv/user/js/bootstrap.bundle.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:31 +0700] "GET /adv/user/login HTTP/1.1" 200 2805
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:31 +0700] "GET /adv/user/js/bootstrap.bundle.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:31 +0700] "GET /adv/adcss/loginv3.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:31 +0700] "GET /adv/adcss/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:31 +0700] "GET /adv/adcss/all.min.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:31 +0700] "GET /adv/user/login HTTP/1.1" 200 2805
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:31 +0700] "GET /adv/adcss/all.min.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:31 +0700] "GET /adv/adcss/loginv3.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:31 +0700] "GET /adv/user/js/bootstrap.bundle.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:31 +0700] "GET /adv/adcss/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:49 +0700] "GET /adv/user/login HTTP/1.1" 200 2812
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:49 +0700] "GET /adv/adcss/all.min.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:49 +0700] "GET /adv/adcss/loginv3.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:49 +0700] "GET /adv/adcss/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:50 +0700] "GET /adv/user/login HTTP/1.1" 200 2812
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:50 +0700] "GET /adv/adcss/all.min.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:50 +0700] "GET /adv/adcss/loginv3.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:50 +0700] "GET /adv/adcss/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:50 +0700] "GET /adv/user/login HTTP/1.1" 200 2812
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:50 +0700] "GET /adv/adcss/all.min.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:50 +0700] "GET /adv/adcss/loginv3.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:50 +0700] "GET /adv/adcss/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:50 +0700] "GET /adv/user/login HTTP/1.1" 200 2812
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:50 +0700] "GET /adv/adcss/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:50 +0700] "GET /adv/adcss/all.min.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:50 +0700] "GET /adv/adcss/loginv3.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:50 +0700] "GET /adv/user/login HTTP/1.1" 200 2812
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:51 +0700] "GET /adv/adcss/loginv3.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:51 +0700] "GET /adv/adcss/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:51 +0700] "GET /adv/adcss/all.min.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:51 +0700] "GET /adv/user/login HTTP/1.1" 200 2812
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:51 +0700] "GET /adv/adcss/loginv3.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:51 +0700] "GET /adv/adcss/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:51 +0700] "GET /adv/adcss/all.min.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:52 +0700] "GET /adv/user/login HTTP/1.1" 200 2812
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:52 +0700] "GET /adv/adcss/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:52 +0700] "GET /adv/adcss/loginv3.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:52 +0700] "GET /adv/adcss/all.min.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:52 +0700] "GET /adv/user/login HTTP/1.1" 200 2812
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:52 +0700] "GET /adv/adcss/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:52 +0700] "GET /adv/adcss/loginv3.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:52 +0700] "GET /adv/adcss/all.min.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:53 +0700] "GET /adv/user/login HTTP/1.1" 200 2812
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:53 +0700] "GET /adv/adcss/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:53 +0700] "GET /adv/adcss/loginv3.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:53 +0700] "GET /adv/adcss/all.min.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:53 +0700] "GET /adv/user/login HTTP/1.1" 200 2812
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:53 +0700] "GET /adv/adcss/all.min.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:53 +0700] "GET /adv/adcss/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:53 +0700] "GET /adv/adcss/loginv3.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:53 +0700] "GET /adv/user/login HTTP/1.1" 200 2812
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:53 +0700] "GET /adv/adcss/loginv3.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:53 +0700] "GET /adv/adcss/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:53 +0700] "GET /adv/adcss/all.min.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:53 +0700] "GET /adv/user/login HTTP/1.1" 200 2812
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:53 +0700] "GET /adv/adcss/loginv3.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:53 +0700] "GET /adv/adcss/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:53 +0700] "GET /adv/adcss/all.min.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:58 +0700] "GET /adv/user/login HTTP/1.1" 200 2812
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:58 +0700] "GET /adv/adcss/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:58 +0700] "GET /adv/adcss/loginv3.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:58 +0700] "GET /adv/adcss/all.min.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:58 +0700] "GET /adv/user/login HTTP/1.1" 200 2812
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:58 +0700] "GET /adv/adcss/all.min.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:58 +0700] "GET /adv/adcss/loginv3.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:59:58 +0700] "GET /adv/adcss/bootstrap.min.css HTTP/1.1" 404 786
